[2026-04-20 12:09:02.737] PRODUCAO | veiculoId=157 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36
[2026-04-20 12:09:02.829] PRODUCAO | veiculoId=160 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=38
[2026-04-20 12:09:02.829] PRODUCAO | veiculoId=158 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=39
[2026-04-20 12:09:02.829] PRODUCAO | veiculoId=159 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=37
[2026-04-20 12:09:02.845] PRODUCAO | veiculoId=161 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0
[2026-04-20 12:09:02.892] PRODUCAO | veiculoId=162 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1
[2026-04-20 12:09:02.984] PRODUCAO | veiculoId=163 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=2
[2026-04-20 12:09:02.984] PRODUCAO | veiculoId=164 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=3
[2026-04-20 12:09:02.984] PRODUCAO | veiculoId=165 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=4
[2026-04-20 12:09:02.999] PRODUCAO | veiculoId=166 | cor=G | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5
[2026-04-20 12:09:03.046] PRODUCAO | veiculoId=167 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6
[2026-04-20 12:09:03.138] PRODUCAO | veiculoId=170 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=9
[2026-04-20 12:09:03.138] PRODUCAO | veiculoId=169 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=7
[2026-04-20 12:09:03.138] PRODUCAO | veiculoId=168 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=8
[2026-04-20 12:09:03.153] PRODUCAO | veiculoId=171 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10
[2026-04-20 12:09:03.200] PRODUCAO | veiculoId=172 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11
[2026-04-20 12:09:03.293] PRODUCAO | veiculoId=175 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=14
[2026-04-20 12:09:03.293] PRODUCAO | veiculoId=173 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=12
[2026-04-20 12:09:03.293] PRODUCAO | veiculoId=174 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13
[2026-04-20 12:09:03.309] PRODUCAO | veiculoId=176 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15
[2026-04-20 12:09:03.355] PRODUCAO | veiculoId=177 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16
